unique_id,account_number,name,bank,password,account_balance
100001,8358190375,buhari,XYZ Bank,buhari,1000.0
58130,4345990937,Sreeranjan,Unilag Bank,weaponed,10000.0
87370,2255040028,satyvani,Unilag Bank,weaponed,10000.0
42587,1609739822,royce,Unilag Bank,weaponede,10000.0
96775,1793660943,frank,Unilag Bank,weaponed,10000.0
58035,8291627435,doreen,Unilag Bank,weaponed,10000.0
10234,Adewole Tunde 1,Gtbank,12345,20000,
10234,Adewole Tunde 1,Gtbank,12345,20000,
73884,8108978817,sreeranjan,Unilag Bank,weaponed,10000.0
19163,8555583470,davidroyce,Unilag Bank,weaponed,10000.0
19129,1277726461,satyavani,Unilag Bank,12345678,10000.0
57320,6250764104,doreennithika,Unilag Bank,12345678,10000.0
77939,9445318152,godsgrace,Unilag Bank,weaponed,10000.0
88347,5373866442,doreennithika,Unilag Bank,weaponed,10000.0
65341,1102569517,sreeranjan,Unilag Bank,12345678,10000.0
37735,8373265920,ravalika,Unilag Bank,1234567890,10000.0
90040,9070385397,ravalika,Unilag Bank,1234567890,10000.0
13476,9988149372,ravalika,Unilag Bank,1234567890,10000.0
21827,9735853691,sreeranjan,Unilag Bank,1234567890,10000.0
71720,2222247845,dorasara,Unilag Bank,1234567890,10000.0
70384,5772252942,sreeranjan,Unilag Bank,1234567890,10000.0
71964,2316738454,anish,Unilag Bank,anish@2222,4445.0
81488,8304346808,TADI VENKATA SAI ANISH KUMAR REDDY,Unilag Bank,Tvsanish@2222,0.0
73105,1462956843,anishreddytadi,Unilag Bank,123456789,16822.0
29097,7552897538,tadi venkata sai anish kumar reddy,Unilag Bank,123456789,10000.0
34249,5590098069,tadi venkata sai anish kumar reddy,Unilag Bank,123456789,10000.0
27979,6153885885,bjxwxjwxi,Unilag Bank,123456789,10000
69083,1556292388,6663656,Unilag Bank,125455154,10000
48453,8528401695,kuvoiviji,Unilag Bank,"363062+,56++5+",10000
10357,5260554269,uqUNXUDH\]DIOPVIf,Unilag Bank,61654165101,10000
34207,7928323416,"kz,ckmLClkmx",Unilag Bank,rwldodk;;ldld,10000
17501,1492781276,anish,Unilag Bank,123456789,10000
11324,7244763941,anishdddd,Unilag Bank,123456789,10000
38374,5334133343,anishgadu,Unilag Bank,123456789,10000
80068,6277679018,bhargav,Unilag Bank,Bhargav@123,10000
